#GRATING,,
#λ,Transmission,Emissivity
#μm,,
2.90698,0.35,0.03
2.92398,0.35,0.03
2.94118,0.35,0.03
2.95858,0.35,0.03
2.97619,0.35,0.03
2.99401,0.35,0.03
3.01205,0.35,0.03
3.0303,0.35,0.03
3.04878,0.35,0.03
3.06748,0.35,0.03
3.08642,0.35,0.03
3.10559,0.35,0.03
3.125,0.35,0.03
3.14465,0.35,0.03
3.16456,0.35,0.03
3.18471,0.35,0.03
3.20513,0.35,0.03
3.22581,0.35,0.03
3.24675,0.35,0.03
3.26797,0.35,0.03
3.28947,0.35,0.03
3.31126,0.35,0.03
3.33333,0.35,0.03
3.3557,0.35,0.03
3.37838,0.35,0.03
3.40136,0.35,0.03
3.42466,0.35,0.03
3.44828,0.35,0.03
3.47222,0.35,0.03
3.4965,0.35,0.03
3.52113,0.35,0.03
3.5461,0.35,0.03
3.57143,0.35,0.03
3.59712,0.35,0.03
3.62319,0.35,0.03
3.64964,0.35,0.03
3.67647,0.35,0.03
3.7037,0.35,0.03
3.73134,0.35,0.03
3.7594,0.35,0.03
3.78788,0.35,0.03
3.81679,0.35,0.03
3.84615,0.35,0.03
3.87597,0.35,0.03
3.90625,0.35,0.03
3.93701,0.35,0.03
3.96825,0.35,0.03
4,0.35,0.03
4.03226,0.35,0.03
4.06504,0.35,0.03
4.09836,0.35,0.03
4.13223,0.35,0.03
4.16667,0.35,0.03
4.20168,0.35,0.03
4.23729,0.35,0.03
4.2735,0.35,0.03
4.31034,0.35,0.03
4.34783,0.35,0.03
4.38596,0.35,0.03
4.42478,0.35,0.03
4.46429,0.35,0.03
4.5045,0.35,0.03
4.54545,0.35,0.03
4.58716,0.35,0.03
4.62963,0.35,0.03
4.6729,0.35,0.03
4.71698,0.35,0.03
4.7619,0.35,0.03
4.80769,0.35,0.03
4.85437,0.35,0.03
4.90196,0.35,0.03
4.9505,0.35,0.03
5,0.35,0.03
5.02513,0.35,0.03
5.05051,0.35,0.03
5.07614,0.35,0.03
5.10204,0.35,0.03
5.12821,0.35,0.03
5.15464,0.35,0.03
5.18135,0.35,0.03
5.20833,0.35,0.03
5.2356,0.35,0.03
5.26316,0.35,0.03
5.29101,0.35,0.03
5.31915,0.35,0.03
5.34759,0.35,0.03
5.37634,0.35,0.03
5.40541,0.35,0.03
5.43478,0.35,0.03
5.46448,0.35,0.03
5.49451,0.35,0.03
5.52486,0.35,0.03
5.55556,0.35,0.03
5.58659,0.35,0.03
5.61798,0.35,0.03
5.64972,0.35,0.03
5.68182,0.35,0.03
5.71429,0.35,0.03
5.74713,0.35,0.03
5.78035,0.35,0.03
5.81395,0.35,0.03
5.84795,0.35,0.03
5.88235,0.35,0.03
5.91716,0.35,0.03
5.95238,0.35,0.03
5.98802,0.35,0.03
6.0241,0.35,0.03
6.06061,0.35,0.03
6.09756,0.35,0.03
6.13497,0.35,0.03
6.17284,0.35,0.03
6.21118,0.35,0.03
6.25,0.35,0.03
6.28931,0.35,0.03
6.32911,0.35,0.03
6.36943,0.35,0.03
6.41026,0.35,0.03
6.45161,0.35,0.03
6.49351,0.35,0.03
6.53595,0.35,0.03
6.57895,0.35,0.03
6.62252,0.35,0.03
6.66667,0.35,0.03
6.71141,0.35,0.03
6.75676,0.35,0.03
6.80272,0.35,0.03
6.84932,0.35,0.03
6.89655,0.35,0.03
6.94444,0.35,0.03
6.99301,0.35,0.03
7.04225,0.35,0.03
7.0922,0.35,0.03
7.14286,0.35,0.03
7.19424,0.35,0.03
7.24638,0.35,0.03
7.29927,0.35,0.03
7.35294,0.35,0.03
7.40741,0.35,0.03
7.46269,0.35,0.03
7.5188,0.35,0.03
7.57576,0.35,0.03
7.63359,0.35,0.03
7.69231,0.35,0.03
7.75194,0.35,0.03
7.8125,0.35,0.03
7.87402,0.35,0.03
7.93651,0.35,0.03
8,0.35,0.03
8.06452,0.35,0.03
8.13008,0.35,0.03
8.19672,0.35,0.03
8.26446,0.35,0.03
8.33333,0.35,0.03
8.40336,0.35,0.03
8.47458,0.35,0.03
8.54701,0.35,0.03
8.62069,0.35,0.03
8.69565,0.35,0.03
8.77193,0.35,0.03
8.84956,0.35,0.03
8.92857,0.35,0.03
9.00901,0.35,0.03
9.09091,0.35,0.03
9.17431,0.35,0.03
9.25926,0.35,0.03
9.34579,0.35,0.03
9.43396,0.35,0.03
9.52381,0.35,0.03
9.61538,0.35,0.03
9.70874,0.35,0.03
9.80392,0.35,0.03
9.90099,0.35,0.03
10,0.35,0.03
10.10101,0.35,0.03
10.20408,0.35,0.03
10.30928,0.35,0.03
10.41667,0.35,0.03
10.52632,0.35,0.03
10.6383,0.35,0.03
10.75269,0.35,0.03
10.86957,0.35,0.03
10.98901,0.35,0.03
11.11111,0.35,0.03
11.23596,0.35,0.03
11.36364,0.35,0.03
11.49425,0.35,0.03
11.62791,0.35,0.03
11.76471,0.35,0.03
11.90476,0.35,0.03
12.04819,0.35,0.03
12.19512,0.35,0.03
12.34568,0.35,0.03
12.5,0.35,0.03
12.65823,0.35,0.03
12.82051,0.35,0.03
12.98701,0.35,0.03
13.15789,0.35,0.03
13.33333,0.35,0.03
13.51351,0.35,0.03
13.69863,0.35,0.03
13.88889,0.35,0.03
14.08451,0.35,0.03
14.28571,0.35,0.03
14.49275,0.35,0.03
14.70588,0.35,0.03
14.92537,0.35,0.03
15.15152,0.35,0.03
15.38462,0.35,0.03
15.625,0.35,0.03
15.87302,0.35,0.03
16.12903,0.35,0.03
16.38504,0.35,0.03
16.64105,0.35,0.03
16.89706,0.35,0.03
17.15307,0.35,0.03
17.40908,0.35,0.03
17.66509,0.35,0.03
17.9211,0.35,0.03
18.17711,0.35,0.03
18.43312,0.35,0.03
18.68913,0.35,0.03
18.94514,0.35,0.03
19.20115,0.35,0.03
19.45716,0.35,0.03
19.71317,0.35,0.03
19.96918,0.35,0.03
20.22519,0.35,0.03
20.4812,0.35,0.03
20.73721,0.35,0.03
20.99322,0.35,0.03
21.24923,0.35,0.03
21.50524,0.35,0.03
21.76125,0.35,0.03
22.01726,0.35,0.03
22.27327,0.35,0.03
22.52928,0.35,0.03
22.78529,0.35,0.03
23.0413,0.35,0.03
23.29731,0.35,0.03
23.55332,0.35,0.03
23.80933,0.35,0.03
24.06534,0.35,0.03
24.32135,0.35,0.03
24.57736,0.35,0.03
24.83337,0.35,0.03
25.08938,0.35,0.03
